ENSG00000282787	RP11-151A10.3
ENSG00000186666	BCDIN3D
ENSG00000261098	RP11-819C21.1
ENSG00000175866	BAIAP2
ENSG00000072954	TMEM38A
ENSG00000197535	MYO5A
ENSG00000123689	G0S2
ENSG00000280195	XX-FW83563B9.5
ENSG00000270103	RNU11
ENSG00000171617	ENC1
ENSG00000143590	EFNA3
ENSG00000006327	TNFRSF12A
ENSG00000125430	HS3ST3B1
ENSG00000131127	ZNF141
ENSG00000215068	AC025171.1
ENSG00000274383	CTD-2017F17.2
ENSG00000011021	CLCN6
ENSG00000110318	CEP126
ENSG00000156711	MAPK13
ENSG00000101405	OXT
ENSG00000231999	FLJ27354
ENSG00000091879	ANGPT2
ENSG00000163380	LMOD3
ENSG00000188227	ZNF793
ENSG00000006638	TBXA2R
ENSG00000254030	IGLC5
ENSG00000196110	ZNF699
ENSG00000264443	RP4-594I10.3
ENSG00000152127	MGAT5
ENSG00000197872	FAM49A
ENSG00000197860	SGTB
ENSG00000213203	GIMAP1
ENSG00000273064	RP11-474G23.3
ENSG00000104972	LILRB1
ENSG00000101460	MAP1LC3A
ENSG00000167106	FAM102A
ENSG00000259687	LINC01220
ENSG00000168795	ZBTB5
ENSG00000099840	IZUMO4
ENSG00000279159	RP3-394A18.1
ENSG00000090554	FLT3LG
ENSG00000272277	RP1-40E16.12
ENSG00000110697	PITPNM1
ENSG00000134061	CD180
ENSG00000234636	MED14OS
ENSG00000197885	NKIRAS1
ENSG00000197279	ZNF165
ENSG00000139160	METTL20
ENSG00000128394	APOBEC3F
ENSG00000133056	PIK3C2B
ENSG00000158497	HMHB1
ENSG00000268858	RP4-591C20.9
ENSG00000167528	ZNF641
ENSG00000160961	ZNF333
ENSG00000108798	ABI3
ENSG00000171121	KCNMB3
ENSG00000120162	MOB3B
ENSG00000112486	CCR6
ENSG00000204103	MAFB
ENSG00000239697	TNFSF12
ENSG00000206140	TMEM191C
ENSG00000273674	CTD-2378E12.1
ENSG00000133985	TTC9
ENSG00000115339	GALNT3
ENSG00000183696	UPP1
ENSG00000169902	TPST1
ENSG00000178803	ADORA2A-AS1
ENSG00000271109	CTC-523E23.11
ENSG00000227039	ITGB2-AS1
ENSG00000196565	HBG2
ENSG00000048028	USP28
ENSG00000177875	CCDC184
ENSG00000260273	RP11-425D10.10
ENSG00000138623	SEMA7A
ENSG00000280007	AC008079.10
ENSG00000182022	CHST15
ENSG00000274712	RP11-147L13.15
ENSG00000253755	IGHGP
ENSG00000103160	HSDL1
ENSG00000268804	RP11-542M13.3
ENSG00000151687	ANKAR
ENSG00000178209	PLEC
ENSG00000111796	KLRB1
ENSG00000136237	RAPGEF5
ENSG00000167077	MEI1
ENSG00000102003	SYP
ENSG00000131650	KREMEN2
ENSG00000163932	PRKCD
ENSG00000132386	SERPINF1
ENSG00000254614	AP003068.23
ENSG00000222037	IGLC6
ENSG00000100450	GZMH
ENSG00000135678	CPM
ENSG00000110324	IL10RA
ENSG00000232412	RP1-315G1.3
ENSG00000185885	IFITM1
ENSG00000101353	MROH8
ENSG00000186594	MIR22HG
ENSG00000163935	SFMBT1
ENSG00000228784	LINC00954
ENSG00000263956	NBPF11
ENSG00000078237	TIGAR
ENSG00000111729	CLEC4A
ENSG00000211685	IGLC7
ENSG00000175906	ARL4D
ENSG00000105699	LSR
ENSG00000166927	MS4A7
ENSG00000262222	RP11-876N24.4
ENSG00000165029	ABCA1
ENSG00000174996	KLC2
ENSG00000183569	SERHL2
ENSG00000179088	C12orf42
ENSG00000183779	ZNF703
ENSG00000090975	PITPNM2
ENSG00000104918	RETN
ENSG00000166224	SGPL1
ENSG00000278558	TMEM191B
ENSG00000167286	CD3D
ENSG00000269743	SLC25A53
ENSG00000168026	TTC21A
ENSG00000185033	SEMA4B
ENSG00000265287	RP11-192H23.6
ENSG00000196150	ZNF250
ENSG00000139178	C1RL
ENSG00000172602	RND1
ENSG00000139974	SLC38A6
ENSG00000111731	C2CD5
ENSG00000138606	SHF
ENSG00000183484	GPR132
ENSG00000142512	SIGLEC10
ENSG00000178695	KCTD12
ENSG00000231312	AC007246.3
ENSG00000157017	GHRL
ENSG00000167065	DUSP18
ENSG00000005471	ABCB4
ENSG00000256223	ZNF10
ENSG00000130150	MOSPD2
ENSG00000197892	KIF13B
ENSG00000172765	TMCC1
ENSG00000130023	ERMARD
ENSG00000161791	FMNL3
ENSG00000184384	MAML2
ENSG00000116663	FBXO6
ENSG00000144791	LIMD1
ENSG00000054654	SYNE2
ENSG00000049192	ADAMTS6
ENSG00000138835	RGS3
ENSG00000258102	MAP1LC3B2
ENSG00000091073	DTX2
ENSG00000106683	LIMK1
ENSG00000198270	TMEM116
ENSG00000159882	ZNF230
ENSG00000185215	TNFAIP2
ENSG00000276778	RP11-524N5.1
ENSG00000158578	ALAS2
ENSG00000058091	CDK14
ENSG00000133805	AMPD3
ENSG00000259865	RP11-488L18.10
ENSG00000096654	ZNF184
ENSG00000163736	PPBP
ENSG00000226899	RP11-298J20.3
ENSG00000105866	SP4
ENSG00000174943	KCTD13
ENSG00000221946	FXYD7
ENSG00000169193	CCDC126
ENSG00000167524	SGK494
ENSG00000270049	RP11-297D21.4
ENSG00000154710	RABGEF1
ENSG00000176293	ZNF135
ENSG00000115085	ZAP70
ENSG00000185800	DMWD
ENSG00000051009	FAM160A2
ENSG00000129925	TMEM8A
ENSG00000117298	ECE1
ENSG00000231294	AC006994.2
ENSG00000167625	ZNF526
ENSG00000181652	ATG9B
ENSG00000178694	NSUN3
ENSG00000134369	NAV1
ENSG00000110218	PANX1
ENSG00000006459	KDM7A
ENSG00000165410	CFL2
ENSG00000164117	FBXO8
ENSG00000175274	TP53I11
ENSG00000115687	PASK
ENSG00000171657	GPR82
ENSG00000186265	BTLA
ENSG00000159842	ABR
ENSG00000125245	GPR18
ENSG00000082438	COBLL1
ENSG00000141753	IGFBP4
ENSG00000105851	PIK3CG
ENSG00000119922	IFIT2
ENSG00000229153	EPHA1-AS1
ENSG00000099308	MAST3
ENSG00000134698	AGO4
ENSG00000260257	RP5-1085F17.3
ENSG00000179562	GCC1
ENSG00000272426	RP11-108M9.6
ENSG00000078246	TULP3
ENSG00000277324	RP11-850A17.1
ENSG00000112144	ICK
ENSG00000101574	METTL4
ENSG00000204681	GABBR1
ENSG00000110076	NRXN2
ENSG00000165071	TMEM71
ENSG00000006062	MAP3K14
ENSG00000127511	SIN3B
ENSG00000130827	PLXNA3
ENSG00000169398	PTK2
ENSG00000243364	EFNA4
ENSG00000135437	RDH5
ENSG00000100307	CBX7
ENSG00000173137	ADCK5
ENSG00000186866	POFUT2
ENSG00000064886	CHI3L2
ENSG00000148926	ADM
ENSG00000120708	TGFBI
ENSG00000188483	IER5L
ENSG00000170385	SLC30A1
ENSG00000136315	RP11-84C10.2
ENSG00000163273	NPPC
ENSG00000272663	RP11-191L17.1
ENSG00000182183	FAM159A
ENSG00000268218	AC137932.4
ENSG00000040531	CTNS
ENSG00000170946	DNAJC24
ENSG00000178397	FAM220A
ENSG00000275441	RP11-666O2.2
ENSG00000047056	WDR37
ENSG00000124772	CPNE5
ENSG00000122585	NPY
ENSG00000188747	NOXA1
ENSG00000182240	BACE2
ENSG00000138639	ARHGAP24
ENSG00000133424	LARGE
ENSG00000169704	GP9
ENSG00000189077	TMEM120A
ENSG00000070031	SCT
ENSG00000152256	PDK1
ENSG00000198851	CD3E
ENSG00000234705	HMGA1P4
ENSG00000111752	PHC1
ENSG00000047365	ARAP2
ENSG00000152785	BMP3
ENSG00000105321	CCDC9
ENSG00000235078	AC142528.1
ENSG00000103522	IL21R
ENSG00000163697	APBB2
ENSG00000198466	ZNF587
ENSG00000186056	MATN1-AS1
ENSG00000166123	GPT2
ENSG00000258181	RP11-493L12.4
ENSG00000115919	KYNU
ENSG00000196247	ZNF107
ENSG00000198832	SELM
ENSG00000213889	PPM1N
ENSG00000126246	IGFLR1
ENSG00000052802	MSMO1
ENSG00000070669	ASNS
ENSG00000258572	RP11-1070N10.3
ENSG00000026559	KCNG1
ENSG00000159433	STARD9
ENSG00000157800	SLC37A3
ENSG00000154655	L3MBTL4
ENSG00000144815	NXPE3
ENSG00000213020	ZNF611
ENSG00000229474	PATL2
ENSG00000166024	R3HCC1L
ENSG00000079263	SP140
ENSG00000137842	TMEM62
ENSG00000205307	SAP25
ENSG00000270164	LINC01480
ENSG00000226419	SLC16A1-AS1
ENSG00000158406	HIST1H4H
ENSG00000122707	RECK
ENSG00000145246	ATP10D
ENSG00000234184	RP5-887A10.1
ENSG00000151743	AMN1
ENSG00000225331	AP001055.6
ENSG00000160856	FCRL3
ENSG00000118922	KLF12
ENSG00000146192	FGD2
ENSG00000182195	LDOC1
ENSG00000179388	EGR3
ENSG00000002587	HS3ST1
ENSG00000176531	PHLDB3
ENSG00000105650	PDE4C
ENSG00000231663	RP5-827C21.4
ENSG00000126803	HSPA2
ENSG00000154822	PLCL2
ENSG00000257740	RP11-977G19.12
ENSG00000248890	HHIP-AS1
ENSG00000165168	CYBB
ENSG00000213231	TCL1B
ENSG00000179598	PLD6
ENSG00000131018	SYNE1
ENSG00000170085	SIMC1
ENSG00000186352	ANKRD37
ENSG00000255150	EID3
ENSG00000072858	SIDT1
ENSG00000130598	TNNI2
ENSG00000140030	GPR65
ENSG00000198331	HYLS1
ENSG00000225885	AC023590.1
ENSG00000179456	ZBTB18
ENSG00000171467	ZNF318
ENSG00000276085	CCL3L3
ENSG00000204475	NCR3
ENSG00000173715	C11orf80
ENSG00000172071	EIF2AK3
ENSG00000136816	TOR1B
ENSG00000115084	SLC35F5
ENSG00000130449	ZSWIM6
ENSG00000063601	MTMR1
ENSG00000274213	RP11-670E13.6
ENSG00000169252	ADRB2
ENSG00000142330	CAPN10
ENSG00000170949	ZNF160
ENSG00000189057	FAM111B
ENSG00000163536	SERPINI1
ENSG00000109680	TBC1D19
ENSG00000233559	AC016831.7
ENSG00000213853	EMP2
ENSG00000247400	DNAJC3-AS1
ENSG00000205356	TECPR1
ENSG00000185829	ARL17A
ENSG00000100379	KCTD17
ENSG00000188641	DPYD
ENSG00000103168	TAF1C
ENSG00000135473	PAN2
ENSG00000223891	OSER1-AS1
ENSG00000134909	ARHGAP32
ENSG00000105738	SIPA1L3
ENSG00000069943	PIGB
ENSG00000102218	RP2
ENSG00000170471	RALGAPB
ENSG00000198945	L3MBTL3
ENSG00000197555	SIPA1L1
ENSG00000272677	RP11-127B20.3
ENSG00000167378	IRGQ
ENSG00000197020	ZNF100
ENSG00000186635	ARAP1
ENSG00000175105	ZNF654
ENSG00000133740	E2F5
ENSG00000150712	MTMR12
ENSG00000143772	ITPKB
ENSG00000070476	ZXDC
ENSG00000121858	TNFSF10
ENSG00000175104	TRAF6
ENSG00000251136	RP11-37B2.1
ENSG00000112297	AIM1
ENSG00000078589	P2RY10
ENSG00000063180	CA11
ENSG00000068323	TFE3
ENSG00000090924	PLEKHG2
ENSG00000196387	ZNF140
ENSG00000198286	CARD11
ENSG00000099992	TBC1D10A
ENSG00000269439	CTD-3131K8.2
ENSG00000198556	ZNF789
ENSG00000047644	WWC3
ENSG00000197629	MPEG1
ENSG00000139508	SLC46A3
ENSG00000250850	RP11-297B17.3
ENSG00000143297	FCRL5
ENSG00000243716	NPIPB5
ENSG00000134262	AP4B1
ENSG00000268403	CTD-2371O3.3
ENSG00000139793	MBNL2
ENSG00000118197	DDX59
ENSG00000115525	ST3GAL5
ENSG00000119729	RHOQ
ENSG00000134242	PTPN22
ENSG00000130589	HELZ2
ENSG00000103227	LMF1
ENSG00000109458	GAB1
ENSG00000168461	RAB31
ENSG00000171109	MFN1
ENSG00000128815	WDFY4
ENSG00000184068	RP5-821D11.7
ENSG00000273188	RP3-402G11.25
ENSG00000164406	LEAP2
ENSG00000267275	CTD-2562J15.6
ENSG00000255423	EBLN2
ENSG00000066382	MPPED2
ENSG00000107742	SPOCK2
ENSG00000145911	N4BP3
ENSG00000240137	ERICH6-AS1
ENSG00000277734	TRAC
ENSG00000226688	ENTPD1-AS1
ENSG00000035720	STAP1
ENSG00000229999	RP5-1042K10.10
ENSG00000154359	LONRF1
ENSG00000163947	ARHGEF3
ENSG00000107829	FBXW4
ENSG00000230590	FTX
ENSG00000160326	SLC2A6
ENSG00000276900	RP11-467L13.7
ENSG00000282851	BISPR
ENSG00000144134	RABL2A
ENSG00000154237	LRRK1
ENSG00000169228	RAB24
ENSG00000167595	PROSER3
ENSG00000172007	RAB33B
ENSG00000089682	RBM41
ENSG00000185880	TRIM69
ENSG00000124508	BTN2A2
ENSG00000158769	F11R
ENSG00000186818	LILRB4
ENSG00000215067	ALOX12-AS1
ENSG00000166401	SERPINB8
ENSG00000111801	BTN3A3
ENSG00000089127	OAS1
ENSG00000188739	RBM34
ENSG00000155304	HSPA13
ENSG00000223547	ZNF844
ENSG00000272602	ZNF595
ENSG00000204599	TRIM39
ENSG00000236778	INTS6-AS1
ENSG00000160218	TRAPPC10
ENSG00000178764	ZHX2
ENSG00000138802	SEC24B
ENSG00000144504	ANKMY1
ENSG00000203814	HIST2H2BF
ENSG00000100441	KHNYN
ENSG00000102575	ACP5
ENSG00000116138	DNAJC16
ENSG00000196267	ZNF836
ENSG00000196511	TPK1
ENSG00000151729	SLC25A4
ENSG00000165507	C10orf10
ENSG00000011132	APBA3
ENSG00000103064	SLC7A6
ENSG00000034533	ASTE1
ENSG00000161835	GRASP
ENSG00000186710	CFAP73
ENSG00000172264	MACROD2
ENSG00000155085	AK9
ENSG00000134982	APC
ENSG00000167264	DUS2
ENSG00000110395	CBL
ENSG00000253948	RP11-410L14.2
ENSG00000048392	RRM2B
ENSG00000118985	ELL2
ENSG00000238121	LINC00426
ENSG00000107036	RIC1
ENSG00000140853	NLRC5
ENSG00000146409	SLC18B1
ENSG00000112763	BTN2A1
ENSG00000138439	FAM117B
ENSG00000121310	ECHDC2
ENSG00000234883	MIR155HG
ENSG00000131979	GCH1
ENSG00000145780	FEM1C
ENSG00000078699	CBFA2T2
ENSG00000278158	AP001059.6
ENSG00000158321	AUTS2
ENSG00000134852	CLOCK
ENSG00000087266	SH3BP2
ENSG00000152413	HOMER1
ENSG00000132952	USPL1
ENSG00000108799	EZH1
ENSG00000261884	CTC-479C5.12
ENSG00000078487	ZCWPW1
ENSG00000167393	PPP2R3B
ENSG00000233429	HOTAIRM1
ENSG00000100926	TM9SF1
ENSG00000153814	JAZF1
ENSG00000158987	RAPGEF6
ENSG00000125731	SH2D3A
ENSG00000160741	CRTC2
ENSG00000132704	FCRL2
ENSG00000135144	DTX1
ENSG00000231856	RP11-327P2.5
ENSG00000165097	KDM1B
ENSG00000183844	FAM3B
ENSG00000138166	DUSP5
ENSG00000165312	OTUD1
ENSG00000198919	DZIP3
ENSG00000144909	OSBPL11
ENSG00000132879	FBXO44
ENSG00000178977	LINC00324
ENSG00000214900	LINC01588
ENSG00000196873	CBWD3
ENSG00000166091	CMTM5
ENSG00000135074	ADAM19
ENSG00000148832	PAOX
ENSG00000130338	TULP4
ENSG00000184709	LRRC26
ENSG00000130518	KIAA1683
ENSG00000181896	ZNF101
ENSG00000169397	RNASE3
ENSG00000178104	PDE4DIP
ENSG00000125089	SH3TC1
ENSG00000228495	LINC01013
ENSG00000107679	PLEKHA1
ENSG00000111859	NEDD9
ENSG00000088305	DNMT3B
ENSG00000124225	PMEPA1
ENSG00000172575	RASGRP1
ENSG00000177989	ODF3B
ENSG00000112561	TFEB
ENSG00000182866	LCK
ENSG00000173890	GPR160
ENSG00000278376	RP11-158I9.8
ENSG00000183921	SDR42E2
ENSG00000188917	TRMT2B
ENSG00000242028	HYPK
ENSG00000186166	CCDC84
ENSG00000160199	PKNOX1
ENSG00000233723	LINC01122
ENSG00000254531	FLJ20021
ENSG00000167261	DPEP2
ENSG00000158480	SPATA2
ENSG00000099337	KCNK6
ENSG00000143891	GALM
ENSG00000150527	CTAGE5
ENSG00000260349	RP11-473I1.5
ENSG00000136630	HLX
ENSG00000196369	SRGAP2B
ENSG00000273319	RP11-138A9.2
ENSG00000204852	TCTN1
ENSG00000164144	ARFIP1
ENSG00000066933	MYO9A
ENSG00000149564	ESAM
ENSG00000066084	DIP2B
ENSG00000175376	EIF1AD
ENSG00000138646	HERC5
ENSG00000123607	TTC21B
ENSG00000160563	MED27
ENSG00000263528	IKBKE
ENSG00000010295	IFFO1
ENSG00000061987	MON2
ENSG00000138688	KIAA1109
ENSG00000115459	ELMOD3
ENSG00000163297	ANTXR2
ENSG00000068354	TBC1D25
ENSG00000168071	CCDC88B
ENSG00000196189	SEMA4A
ENSG00000137857	DUOX1
ENSG00000250397	RP11-1391J7.1
ENSG00000100578	KIAA0586
ENSG00000123444	KBTBD4
ENSG00000130766	SESN2
ENSG00000180488	FAM73A
ENSG00000257913	RP11-386G11.5
ENSG00000000938	FGR
ENSG00000216895	AC009403.2
ENSG00000122515	ZMIZ2
ENSG00000107263	RAPGEF1
ENSG00000198862	LTN1
ENSG00000267254	ZNF790-AS1
ENSG00000135272	MDFIC
ENSG00000107560	RAB11FIP2
ENSG00000181873	IBA57
ENSG00000127220	ABHD8
ENSG00000166900	STX3
ENSG00000100647	SUSD6
ENSG00000250565	ATP6V1E2
ENSG00000059145	UNKL
ENSG00000132664	POLR3F
ENSG00000153395	LPCAT1
ENSG00000065357	DGKA
ENSG00000135604	STX11
ENSG00000175097	RAG2
ENSG00000110851	PRDM4
ENSG00000213918	DNASE1
ENSG00000112367	FIG4
ENSG00000147202	DIAPH2
ENSG00000059769	DNAJC25
ENSG00000104946	TBC1D17
ENSG00000174428	GTF2IRD2B
ENSG00000272106	RP11-345P4.9
ENSG00000160999	SH2B2
ENSG00000104866	PPP1R37
ENSG00000198517	MAFK
ENSG00000135736	CCDC102A
ENSG00000137959	IFI44L
ENSG00000151881	C5orf28
ENSG00000001167	NFYA
ENSG00000235527	HIPK1-AS1
ENSG00000102981	PARD6A
ENSG00000162227	TAF6L
ENSG00000105639	JAK3
ENSG00000064651	SLC12A2
ENSG00000166046	TCP11L2
ENSG00000008517	IL32
ENSG00000132196	HSD17B7
ENSG00000142197	DOPEY2
ENSG00000185946	RNPC3
ENSG00000196562	SULF2
ENSG00000089639	GMIP
ENSG00000037637	FBXO42
ENSG00000181472	ZBTB2
ENSG00000260942	CAPN10-AS1
ENSG00000137502	RAB30
ENSG00000228049	POLR2J2
ENSG00000119508	NR4A3
ENSG00000065457	ADAT1
ENSG00000271605	MILR1
ENSG00000096717	SIRT1
ENSG00000171206	TRIM8
ENSG00000170871	KIAA0232
ENSG00000114423	CBLB
ENSG00000083844	ZNF264
ENSG00000101079	NDRG3
ENSG00000166432	ZMAT1
ENSG00000163755	HPS3
ENSG00000258738	RP11-73E17.2
ENSG00000175893	ZDHHC21
ENSG00000173451	THAP2
ENSG00000149262	INTS4
ENSG00000158792	SPATA2L
ENSG00000125869	LAMP5
ENSG00000259529	RP11-468E2.4
ENSG00000174652	ZNF266
ENSG00000049323	LTBP1
ENSG00000197013	ZNF429
ENSG00000119787	ATL2
ENSG00000189319	FAM53B
ENSG00000176076	KCNE5
ENSG00000101928	MOSPD1
ENSG00000140368	PSTPIP1
ENSG00000167562	ZNF701
ENSG00000129226	CD68
ENSG00000120280	CXorf21
ENSG00000171943	SRGAP2C
ENSG00000196787	HIST1H2AG
ENSG00000151746	BICD1
ENSG00000128536	CDHR3
ENSG00000146072	TNFRSF21
ENSG00000168685	IL7R
ENSG00000167302	ENTHD2
ENSG00000164938	TP53INP1
ENSG00000273382	RP5-1065J22.8
ENSG00000099985	OSM
ENSG00000256043	CTSO
ENSG00000153094	BCL2L11
ENSG00000164430	MB21D1
ENSG00000059378	PARP12
ENSG00000176542	USF3
ENSG00000136867	SLC31A2
ENSG00000268027	AC006129.2
ENSG00000149516	MS4A3
ENSG00000127419	TMEM175
ENSG00000142065	ZFP14
ENSG00000152465	NMT2
ENSG00000249437	NAIP
ENSG00000138834	MAPK8IP3
ENSG00000100284	TOM1
ENSG00000173276	ZBTB21
ENSG00000197217	ENTPD4
ENSG00000093072	CECR1
ENSG00000177683	THAP5
ENSG00000257315	ZBED6
ENSG00000221923	ZNF880
ENSG00000153179	RASSF3
ENSG00000090339	ICAM1
ENSG00000171132	PRKCE
ENSG00000090615	GOLGA3
ENSG00000120306	CYSTM1
ENSG00000173200	PARP15
ENSG00000225190	PLEKHM1
ENSG00000066923	STAG3
ENSG00000130787	HIP1R
ENSG00000139505	MTMR6
ENSG00000105656	ELL
ENSG00000083223	ZCCHC6
ENSG00000160683	CXCR5
ENSG00000137078	SIT1
ENSG00000063176	SPHK2
ENSG00000104774	MAN2B1
ENSG00000231607	DLEU2
ENSG00000170581	STAT2
ENSG00000265666	RARA-AS1
ENSG00000268043	NBPF12
ENSG00000171067	C11orf24
ENSG00000100077	ADRBK2
ENSG00000224470	ATXN1L
ENSG00000130119	GNL3L
ENSG00000127948	POR
ENSG00000186908	ZDHHC17
ENSG00000105339	DENND3
ENSG00000174500	GCSAM
ENSG00000154803	FLCN
ENSG00000157734	SNX22
ENSG00000012817	KDM5D
ENSG00000205744	DENND1C
ENSG00000065534	MYLK
ENSG00000170365	SMAD1
ENSG00000131323	TRAF3
ENSG00000110429	FBXO3
ENSG00000254709	IGLL5
ENSG00000149577	SIDT2
ENSG00000101265	RASSF2
ENSG00000168081	PNOC
ENSG00000156671	SAMD8
ENSG00000272449	RP3-395M20.12
ENSG00000196911	KPNA5
ENSG00000156273	BACH1
ENSG00000110077	MS4A6A
ENSG00000206177	HBM
ENSG00000216490	IFI30
ENSG00000138468	SENP7
ENSG00000183486	MX2
ENSG00000118263	KLF7
ENSG00000108819	PPP1R9B
ENSG00000145349	CAMK2D
ENSG00000121350	PYROXD1
ENSG00000241106	HLA-DOB
ENSG00000179583	CIITA
ENSG00000257218	GATC
ENSG00000118596	SLC16A7
ENSG00000238142	RP11-108M9.4
ENSG00000249222	ATP5L2
ENSG00000151883	PARP8
ENSG00000058063	ATP11B
ENSG00000170604	IRF2BP1
ENSG00000115457	IGFBP2
ENSG00000188542	DUSP28
ENSG00000167182	SP2
ENSG00000125898	FAM110A
ENSG00000147133	TAF1
ENSG00000113448	PDE4D
ENSG00000167967	E4F1
ENSG00000135905	DOCK10
ENSG00000164880	INTS1
ENSG00000141452	C18orf8
ENSG00000163563	MNDA
ENSG00000100422	CERK
ENSG00000048052	HDAC9
ENSG00000164654	MIOS
ENSG00000214655	ZSWIM8
ENSG00000167380	ZNF226
ENSG00000115523	GNLY
ENSG00000135686	KLHL36
ENSG00000135999	EPC2
ENSG00000130244	FAM98C
ENSG00000134531	EMP1
ENSG00000158457	TSPAN33
ENSG00000198026	ZNF335
ENSG00000119778	ATAD2B
ENSG00000124786	SLC35B3
ENSG00000117519	CNN3
ENSG00000154328	NEIL2
ENSG00000150477	KIAA1328
ENSG00000266714	MYO15B
ENSG00000094631	HDAC6
ENSG00000151239	TWF1
ENSG00000167081	PBX3
ENSG00000141446	ESCO1
ENSG00000113971	NPHP3
ENSG00000149716	ORAOV1
ENSG00000172578	KLHL6
ENSG00000163281	GNPDA2
ENSG00000108599	AKAP10
ENSG00000167232	ZNF91
ENSG00000154016	GRAP
ENSG00000107077	KDM4C
ENSG00000118518	RNF146
ENSG00000198863	RUNDC1
ENSG00000272368	RP4-605O3.4
ENSG00000170006	TMEM154
ENSG00000090661	CERS4
ENSG00000121879	PIK3CA
ENSG00000143376	SNX27
ENSG00000197381	ADARB1
ENSG00000171316	CHD7
ENSG00000261526	CTB-31O20.2
ENSG00000011405	PIK3C2A
ENSG00000108094	CUL2
ENSG00000204152	TIMM23B
ENSG00000137075	RNF38
ENSG00000230155	RP3-477O4.14
ENSG00000147251	DOCK11
ENSG00000232859	LYRM9
ENSG00000105427	CNFN
ENSG00000089060	SLC8B1
ENSG00000173334	TRIB1
ENSG00000169087	HSPBAP1
ENSG00000174373	RALGAPA1
ENSG00000119138	KLF9
ENSG00000126705	AHDC1
ENSG00000173041	ZNF680
ENSG00000125386	FAM193A
ENSG00000099330	OCEL1
ENSG00000226746	SMCR5
ENSG00000110422	HIPK3
ENSG00000239636	RP4-728D4.2
ENSG00000120029	C10orf76
ENSG00000178878	APOLD1
ENSG00000147894	C9orf72
ENSG00000261824	LINC00662
ENSG00000177663	IL17RA
ENSG00000143756	FBXO28
ENSG00000103966	EHD4
ENSG00000164933	SLC25A32
ENSG00000137752	CASP1
ENSG00000134107	BHLHE40
ENSG00000176438	SYNE3
ENSG00000135048	TMEM2
ENSG00000138593	SECISBP2L
ENSG00000233184	RP11-421L21.3
ENSG00000112406	HECA
ENSG00000172995	ARPP21
ENSG00000196182	STK40
ENSG00000196646	ZNF136
ENSG00000124201	ZNFX1
ENSG00000163171	CDC42EP3
ENSG00000143862	ARL8A
ENSG00000164828	SUN1
ENSG00000184602	SNN
ENSG00000095370	SH2D3C
ENSG00000197302	ZNF720
ENSG00000143546	S100A8
ENSG00000150907	FOXO1
ENSG00000232810	TNF
ENSG00000136141	LRCH1
ENSG00000255823	MTRNR2L8
ENSG00000237499	RP11-356I2.4
ENSG00000099326	MZF1
ENSG00000076321	KLHL20
ENSG00000188786	MTF1
ENSG00000101966	XIAP
ENSG00000114745	GORASP1
ENSG00000080845	DLGAP4
ENSG00000128881	TTBK2
ENSG00000163596	ICA1L
ENSG00000122224	LY9
ENSG00000163737	PF4
ENSG00000234127	TRIM26
ENSG00000012779	ALOX5
ENSG00000221821	C6orf226
ENSG00000125637	PSD4
ENSG00000012822	CALCOCO1
ENSG00000103479	RBL2
ENSG00000143398	PIP5K1A
ENSG00000160179	ABCG1
ENSG00000139626	ITGB7
ENSG00000112365	ZBTB24
ENSG00000116786	PLEKHM2
ENSG00000278002	RP11-596C23.2
ENSG00000146828	SLC12A9
ENSG00000188321	ZNF559
ENSG00000186812	ZNF397
ENSG00000121210	KIAA0922
ENSG00000171608	PIK3CD
ENSG00000145390	USP53
ENSG00000088970	KIZ
ENSG00000145391	SETD7
ENSG00000117000	RLF
ENSG00000119231	SENP5
ENSG00000139112	GABARAPL1
ENSG00000135116	HRK
ENSG00000181035	SLC25A42
ENSG00000147316	MCPH1
ENSG00000157764	BRAF
ENSG00000099204	ABLIM1
ENSG00000183718	TRIM52
ENSG00000149212	SESN3
ENSG00000007237	GAS7
ENSG00000127993	RBM48
ENSG00000135365	PHF21A
ENSG00000166783	KIAA0430
ENSG00000091490	SEL1L3
ENSG00000124635	HIST1H2BJ
ENSG00000176624	MEX3C
ENSG00000187994	RINL
ENSG00000116198	CEP104
ENSG00000006576	PHTF2
ENSG00000129990	SYT5
ENSG00000173889	PHC3
ENSG00000117280	RAB29
ENSG00000145416	MARCH1
ENSG00000205413	SAMD9
ENSG00000227486	RP13-188A5.1
ENSG00000148429	USP6NL
ENSG00000109118	PHF12
ENSG00000186088	GSAP
ENSG00000176014	TUBB6
ENSG00000170542	SERPINB9
ENSG00000174738	NR1D2
ENSG00000198467	TPM2
ENSG00000172175	MALT1
ENSG00000137265	IRF4
ENSG00000256092	RP13-942N8.1
ENSG00000066422	ZBTB11
ENSG00000277632	CCL3
ENSG00000127920	GNG11
ENSG00000119669	IRF2BPL
ENSG00000141293	SKAP1
ENSG00000177576	C18orf32
ENSG00000261766	RP11-22P6.2
ENSG00000185291	IL3RA
ENSG00000106415	GLCCI1
ENSG00000163513	TGFBR2
ENSG00000173926	MARCH3
ENSG00000134954	ETS1
ENSG00000139266	MARCH9
ENSG00000256690	RP11-727F15.9
ENSG00000174718	KIAA1551
ENSG00000124406	ATP8A1
ENSG00000104643	MTMR9
ENSG00000267040	RP11-35G9.3
ENSG00000039523	FAM65A
ENSG00000095015	MAP3K1
ENSG00000228106	RP11-452F19.3
ENSG00000091972	CD200
ENSG00000118515	SGK1
